# qdac_Pg_set	qdac_bias_left_set	lockin1_conductance_3_0	lockin2_conductance_3_1	lockin3_conductance_3_2	lockin4_conductance_3_3
# "Plunger"	"DCbias_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 81	101
-1.5	-0.0003	0.678314947327753	0.0109408856605898	0.0097110274283108	0.136732927052064
-1.5	-0.000294	0.678161637186443	0.0117132602404063	0.0124100441802208	0.137849883680904
-1.5	-0.000288	0.6835056591324	0.0121665401969324	0.0101608837209071	0.136702278149821
-1.5	-0.000282	0.696119442755346	0.0136550997058985	0.00135603353864204	0.136862534052859
-1.5	-0.000276	0.706743213596119	0.0142122709032434	0.00412257382048487	0.137156673805051
-1.5	-0.00027	0.705662342157845	0.0138545787094331	0.0122260386602714	0.136592305256507
-1.5	-0.000264	0.700758780601228	0.0156461242577376	0.018398144219583	0.137190396347415
-1.5	-0.000258	0.694321067643938	0.0173332877124775	0.0198099461166247	0.134596276468378
-1.5	-0.000252	0.679337977440754	0.01823159883792	0.0172218901159304	0.136022500412594
-1.5	-0.000246	0.665124894376354	0.0195093035915209	0.00739954507687048	0.134539025809265
-1.5	-0.00024	0.646451204017835	0.0215171401919703	0.00123711540124603	0.134592819989165
-1.5	-0.000234	0.634322158666055	0.0246215076583859	0.000286596372868417	0.134827171414973
-1.5	-0.000228	0.612610573803901	0.025591766312264	-0.00080573744158618	0.134886959741357
-1.5	-0.000222	0.584985741885952	0.0252727147570207	-0.000861328737575421	0.136047920841838
-1.5	-0.000216	0.562196567019829	0.0257774453810912	0.00404461334585508	0.134198475178352
-1.5	-0.00021	0.538072010188358	0.0254640734975314	0.0020869686611917	0.135018918462967
-1.5	-0.000204	0.533349235561843	0.0256768793592937	0.00275109516920356	0.133866587619036
-1.5	-0.000198	0.539954828353721	0.0261306405965312	0.00597862958910198	0.135293949139046
-1.5	-0.000192	0.549601553392782	0.0253232602871268	0.00745194395013524	0.133367607767485
