# i3d_field_set	qdac_bias_right_set	dmm1_curr_7_4	dmm2_curr_7_5	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "field"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 66	161
-0.1	0.0004	-9.88396875e-10	-3.14210052e-10	0.0980399370914328	0.00237766321444373	0.000269785029300176	0.0707172845113663
-0.1	0.000395	-1.00359187e-09	-3.13558218e-10	0.0982147736456734	-0.000802917858289866	-0.00248737085548173	0.0711886836324033
-0.1	0.00039	-9.90883773e-10	-3.13221652e-10	0.09790394216593	-0.00331317643239051	-0.00268528569309854	0.0701889300619489
-0.1	0.000385	-9.72697985e-10	-3.12687322e-10	0.0985995693879961	-0.00350021423281601	-0.00262387919342966	0.0696714974281926
-0.1	0.00038	-9.6487855e-10	-3.12432035e-10	0.0980043222365733	-0.0043714778677134	-0.00267056489599136	0.0666776839489828
-0.1	0.000375	-9.18668447e-10	-3.0821791e-10	0.0981261302843994	-0.00260389540203468	-0.00186009880940857	0.0645647802458977
-0.1	0.00037	-9.25627832e-10	-3.10468094e-10	0.0980148885597989	-0.00136237642611796	-0.00354101209508488	0.0758168863765584
-0.1	0.000365	-9.15116508e-10	-3.10482355e-10	0.097790119017529	0.00101152070696004	-0.00275656257164182	0.0637220393970791
-0.1	0.00036	-8.95828423e-10	-3.0940671e-10	0.0980561912889295	-0.00357937962098598	-0.00109321427732595	0.053671918172822
-0.1	0.000355	-8.87936997e-10	-3.08804633e-10	0.0980005594898459	0.00146771364888468	-0.000906382764927963	0.0567822182548058
-0.1	0.00035	-8.78727524e-10	-3.09392656e-10	0.0972242956841954	0.00149506723885284	-0.00130495776321626	0.0576713481134771
-0.1	0.000345	-8.68275154e-10	-3.08895306e-10	0.0983251731299098	0.00035354722697658	-0.00292095807975082	0.0628148560051668
-0.1	0.00034	-8.47977507e-10	-3.08010901e-10	0.0985528631785429	-0.000304705882684891	-0.00382150162825324	0.0645096680097904
-0.1	0.000335	-8.39913137e-10	-3.0766083e-10	0.0981723333407491	0.000256367910288729	-0.0044236477217768	0.064930669273134
-0.1	0.00033	-8.15266334e-10	-3.0582652e-10	0.0982580780692264	0.0030972480507439	-0.00373406420903742	0.0615570971027054
-0.1	0.000325	-8.07867578e-10	-3.06260952e-10	0.0981820027302983	0.000901189330883734	-0.00312618682850849	0.0550673947696519
-0.1	0.00032	-7.97061953e-10	-3.05538336e-10	0.0981639984125821	0.00252696585504519	-0.00374334324022161	0.0566731860516973
-0.1	0.000315	-7.66517211e-10	-3.01699783e-10	0.0985622262958793	-0.000741079897024441	-0.00392132795213022	0.0583323777330697
-0.1	0.00031	-7.77538626e-10	-3.04260674e-10	0.0979910869858851	0.000417585715141261	-0.00449035618314463	0.0617164888847658
-0.1	0.000305	-7.66171954e-10	-3.03863367e-10	0.0983460541974604	0.000443391162030099	-0.00419455108705828	0.0608100821078201
