# i3d_field_set	qdac_bias_right_set	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "field"	"DCbias_right"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 29	101
0.58	-0.0003	0.3406023691565	0.00317539447497756	0.00165453764123411	0.12178229055291
0.58	-0.000294	0.341461675952816	0.00676054913588043	0.0022777900612856	0.121949251587303
0.58	-0.000288	0.341568717393587	0.00675153262202448	0.00276990207627685	0.120520293087877
0.58	-0.000282	0.341500244110295	0.00699708136942666	0.00247527249736731	0.120457092036461
0.58	-0.000276	0.33969497793282	0.00537149600783421	0.00353288943907592	0.124754522921179
0.58	-0.00027	0.339840325034178	0.00378325305551429	0.00370532539569735	0.124891283520167
0.58	-0.000264	0.34039246466173	0.00300890241717991	0.00395874180166435	0.124123835926918
0.58	-0.000258	0.340442692966398	0.00435294544176632	0.00432491761292154	0.123709364785257
0.58	-0.000252	0.340804376264903	0.00519663005676043	0.00477419281256533	0.124487761540823
0.58	-0.000246	0.340276366361742	0.00378896622602943	0.00496456437825334	0.123641438420993
0.58	-0.00024	0.339705959910185	0.00503150698590947	0.00561629206871133	0.125055575629447
0.58	-0.000234	0.339420734803794	0.00381930851451991	0.00560905199077016	0.126569097529724
0.58	-0.000228	0.339402096091575	0.00476139098993371	0.00586540599323361	0.125469882698218
0.58	-0.000222	0.338382938107228	0.00388928511175946	0.00698090305408536	0.129840829376328
0.58	-0.000216	0.337842196106483	0.0057427686891849	0.00735458009351406	0.128662192108608
0.58	-0.00021	0.338624279041897	0.00444010496178231	0.00762517737137574	0.12787411502671
0.58	-0.000204	0.338442310770077	0.00546747412821034	0.00766185665078107	0.125761594162716
0.58	-0.000198	0.337619690774319	0.00458671235593756	0.008344386719014	0.125609487236691
0.58	-0.000192	0.337050159406362	0.00370809344973795	0.0088508442132438	0.128160324565742
0.58	-0.000186	0.336412176600491	0.00495135339754635	0.0105366308190495	0.135279729448671
