# i3d_field_set	qdac_bias_right_set	dmm1_curr_7_4	dmm2_curr_7_5	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "field"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 111	201
-0.1	0.0004	-1.10649521e-09	-3.62549296e-11	0.0122204123117485	0.00135017731664602	-0.000722968421711103	0.0854740902304852
-0.1	0.000396	-1.10039569e-09	-3.65748354e-11	0.0124210261561764	0.000743445287691309	-0.000986087629664	0.0798408616910461
-0.1	0.000392	-1.07404464e-09	-3.61622521e-11	0.0122027634892866	0.00115805589166147	-0.0010578022934538	0.0813743786643301
-0.1	0.000388	-1.08549107e-09	-3.582698e-11	0.0123157813099066	0.00123766239783716	-0.00115626595403406	0.0838465647037419
-0.1	0.000384	-1.04907001e-09	-3.54675916e-11	0.0124766989761837	0.000258309209848969	-0.00109122736621175	0.0802315968912384
-0.1	0.00038	-1.04850675e-09	-3.50030687e-11	0.0120130044642661	-0.000501496112934909	-0.00126209445687034	0.0787990397132777
-0.1	0.000376	-1.04226142e-09	-3.57105461e-11	0.0120493275679218	0.000226267651365041	-0.00104165422917046	0.0788701983245098
-0.1	0.000372	-1.02515397e-09	-3.54731869e-11	0.0119609344212693	-2.19175749337374e-05	-0.00136165493065987	0.0812357913782435
-0.1	0.000368	-9.92533999e-10	-3.50950558e-11	0.0119996393228339	-0.000567389933061508	-0.00122215515961798	0.0780886240152883
-0.1	0.000364	-9.8379775e-10	-3.46265917e-11	0.0122058084170627	-0.00167319448946317	-0.00134586432409755	0.0770950395986418
-0.1	0.00036	-9.59900318e-10	-3.46650941e-11	0.0121002832790778	-0.000875173195020823	-0.00138556699680907	0.0819356626312718
-0.1	0.000356	-9.6356476e-10	-3.36412184e-11	0.0120237717771927	-0.000738666138856379	-0.0014088751534235	0.0842822177097283
-0.1	0.000352	-9.34194336e-10	-3.40976612e-11	0.0122516450399654	-0.0019426022355153	-0.00135354099109806	0.0838039384453143
-0.1	0.000348	-9.25452497e-10	-3.39389682e-11	0.0120452407743597	-0.00118150598883705	-0.00133577056621676	0.0836849688638831
-0.1	0.000344	-9.12570271e-10	-3.40770412e-11	0.0117698792168965	-0.000736600694732351	-0.00149308229321202	0.0828698689025844
-0.1	0.00034	-8.8862029e-10	-3.38403779e-11	0.0120766061284561	0.000370586606859153	-0.00145021813226548	0.0905130888755855
-0.1	0.000336	-8.80939082e-10	-3.31909763e-11	0.0119489064777642	0.00157392550218241	-0.00135054212348137	0.0919834321417605
