# qdac_Pg_set	qdac_bias_right_set	dmm1_curr_7_4	dmm2_curr_7_5	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "Plunger"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 71	121
-1.64	-0.0003	4.28213127e-10	-4.92338451e-10	0.208589219648314	0.000571069106885677	0.00257836131710898	0.0357706960501923
-1.64	-0.000295	4.2066493e-10	-4.92567272e-10	0.208589022762725	0.0015480432741234	0.00301388101775417	0.0358442255192614
-1.64	-0.00029	4.11973771e-10	-4.89077825e-10	0.207311416450274	9.51146309837027e-05	0.00378914192127149	0.036144580915986
-1.64	-0.000285	4.04352042e-10	-4.89730872e-10	0.205938122567329	0.00074171850120215	0.00366379296334666	0.0358655960722248
-1.64	-0.00028	3.96074582e-10	-4.88882313e-10	0.205521857560664	0.00225012028832589	0.0037500873382831	0.0357612536294324
-1.64	-0.000275	3.87360275e-10	-4.86982438e-10	0.20614496436346	0.000939737337433332	0.00406757643577629	0.0350094558974795
-1.64	-0.00027	3.80048712e-10	-4.87615228e-10	0.207736760189723	-0.000482099353710754	0.00348756281077961	0.0346974868428819
-1.64	-0.000265	3.74243981e-10	-4.87674642e-10	0.210176508927931	0.000290233951531348	0.00365609450536924	0.0339765868559977
-1.64	-0.00026	3.66071623e-10	-4.8554057e-10	0.210569059869043	0.00075500716022439	0.00430796610200269	0.033554527322163
-1.64	-0.000255	3.59849859e-10	-4.8652158e-10	0.210857653941589	0.000684744374567703	0.00453190878282031	0.0337739972952962
-1.64	-0.00025	3.52804938e-10	-4.82847017e-10	0.210898650403204	-0.000597746834325286	0.00645564412211349	0.0340663814621654
-1.64	-0.000245	3.44853543e-10	-4.8272209e-10	0.210780386333555	-5.58715719334219e-05	0.00680759648347599	0.0340606771789611
-1.64	-0.00024	3.36566181e-10	-4.80675425e-10	0.212181025777985	0.00171189152927518	0.00683825153671996	0.0335970551326286
