# i3d_field_set	qdac_bias_right_set	dmm1_curr_7_4	dmm2_curr_7_5	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "field"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 66	161
1.2	0.0004	-5.46838459e-10	-8.6323527e-10	0.431249106702816	-0.00473587963599392	-0.000906949928891062	0.0374829244429155
1.2	0.000395	-5.37973616e-10	-8.59692417e-10	0.429390308861126	-0.00424995455326121	-0.000604589419106677	0.0381451244561684
1.2	0.00039	-5.29551853e-10	-8.60466145e-10	0.432215433066336	-0.00524974606707179	0.00213172650199045	0.0380977947659759
1.2	0.000385	-5.22247202e-10	-8.5859749e-10	0.435538902709803	-0.0057874239842279	0.00023081169251768	0.0379181371893492
1.2	0.00038	-5.1459949e-10	-8.59152439e-10	0.433984712496038	-0.00464945742053745	0.00140624211805955	0.0381472464716495
1.2	0.000375	-5.04441891e-10	-8.63413667e-10	0.428628483512053	-0.00301363490771489	0.00100599357164509	0.0379064032108872
1.2	0.00037	-4.96858979e-10	-8.63026746e-10	0.430370286124776	-0.00429690448225844	0.00244009790704032	0.0380780731501347
1.2	0.000365	-4.88883693e-10	-8.60077586e-10	0.425286025113531	-0.0058303236941831	-0.00230354769619888	0.0377226930228441
1.2	0.00036	-4.80883416e-10	-8.59377686e-10	0.42770245356206	-0.00522217730171825	6.05735176582123e-05	0.0377277765618538
1.2	0.000355	-4.72372885e-10	-8.57947067e-10	0.42771146666005	-0.00445202728288019	-0.00193313622907494	0.0378379354049124
1.2	0.00035	-4.63794784e-10	-8.62383105e-10	0.423202249902501	-0.00516425736079824	-0.00335754459896039	0.0376418869012668
1.2	0.000345	-4.57064076e-10	-8.61603777e-10	0.425947831352788	-0.00425206289574313	-0.000873446323076299	0.0373129444588953
1.2	0.00034	-4.49772926e-10	-8.65787385e-10	0.428700850797566	-0.00476438601205901	-0.00329744521697739	0.0381012047568125
1.2	0.000335	-4.40786577e-10	-8.59831156e-10	0.432612359298601	-0.0054222391073127	-0.00244143869390477	0.0368606489427612
1.2	0.00033	-4.33643193e-10	-8.60658858e-10	0.434357137111	-0.00587514853168195	-0.00273590915591289	0.0375247412689798
1.2	0.000325	-4.25028919e-10	-8.65991726e-10	0.430399644317467	-0.00453569511701337	-0.00430050623399251	0.0373669300578712
1.2	0.00032	-4.1662601e-10	-8.60829706e-10	0.428671492604874	-0.00405306859221503	-0.000475957627034466	0.0374983856207404
1.2	0.000315	-4.08279385e-10	-8.65637524e-10	0.429643550594496	-0.00527548097111661	-0.0021043788938508	0.0377141092523212
