# i3d_field_set	qdac_bias_right_set	dmm1_curr_7_4	dmm2_curr_7_5	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "field"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 46	161
0.8	0.0004	-4.96413824e-10	-6.24032249e-10	0.279813939258108	-0.00223489616208375	0.00167237378093807	0.0373708240652593
0.8	0.000395	-4.88361597e-10	-6.24706401e-10	0.282209891351744	-0.00278759960815537	-7.94139923736855e-05	0.0380981994800435
0.8	0.00039	-4.79876931e-10	-6.23872956e-10	0.28225379738294	-0.00197374062152695	-0.000626834773511857	0.0382278639088163
0.8	0.000385	-4.71040748e-10	-6.23628885e-10	0.283588741853467	-0.00271302382995022	-0.000332375057480542	0.0368614529020349
0.8	0.00038	-4.62234798e-10	-6.23432176e-10	0.282821272381954	-0.000960191386972257	-0.000728380791129761	0.0357720934084138
0.8	0.000375	-4.55922844e-10	-6.2317543e-10	0.282610755347456	-0.00167956258608359	-0.0012553008804349	0.0357338561154071
0.8	0.00037	-4.49450721e-10	-6.23241852e-10	0.281268066610225	0.000836877194883649	-0.00155539803264645	0.036328028586466
0.8	0.000365	-4.30135273e-10	-6.229833e-10	0.278787671434446	-0.00161133473722083	-0.00177424914160313	0.0356810491098602
0.8	0.00036	-4.23408323e-10	-6.22996597e-10	0.280051123684268	-0.000776681932498885	-0.00134752625034118	0.0342061856232412
0.8	0.000355	-4.23719613e-10	-6.21279446e-10	0.280356234474693	-0.00065754827794301	-0.00123945165182165	0.0352495662974552
0.8	0.00035	-4.17017523e-10	-6.21774729e-10	0.278384488540013	-0.000236553084528231	-0.00127813254071079	0.03627524619197
0.8	0.000345	-4.08886937e-10	-6.21008431e-10	0.278977646493352	-0.000228759600721478	-0.00189093536881238	0.0370737583392521
0.8	0.00034	-4.0033261e-10	-6.21315117e-10	0.277648783668273	-0.00076447222665575	-0.00159613180376806	0.0367200052726984
0.8	0.000335	-3.91869125e-10	-6.20460829e-10	0.274918646990166	-0.00104968091932228	-0.00123731434015922	0.0357786700147133
0.8	0.00033	-3.85633538e-10	-6.21078956e-10	0.272450196355523	-0.00180109171150054	-0.000724578220511474	0.0362583302302947
0.8	0.000325	-3.77740946e-10	-6.2053824e-10	0.275496185159302	-0.000940347057885886	-0.00246935218417705	0.0370979646262938
0.8	0.00032	-3.69596061e-10	-6.2000231e-10	0.278474094460361	-0.00261917712486337	-0.00148456551941272	0.0370255699983529
0.8	0.000315	-3.54284616e-10	-6.18044078e-10	0.279582223947063	-0.000589954632330203	-0.00180914258533249	0.0362462462287285
0.8	0.00031	-3.48666935e-10	-6.18779212e-10	0.280890282266773	-0.00223834443682949	-0.00159605369798807	0.0342731466895378
0.8	0.000305	-3.46694311e-10	-6.18162884e-10	0.281430652355814	0.000188921930690095	-0.00242176783822099	0.0344563509846441
0.8	0.0003	-3.33535859e-10	-6.17760183e-10	0.281300093725682	-0.00107439762848208	-0.00361306524564579	0.0363664955819881
0.8	0.000295	-3.25090648e-10	-6.15602089e-10	0.282061853444659	0.000176804783149133	-0.00344726639767467	0.0345105362062231
0.8	0.00029	-3.16955902e-10	-6.15744952e-10	0.27871924191238	9.52872391307688e-05	-0.00366133630686769	0.0337197081606522
0.8	0.000285	-3.10142066e-10	-6.1668014e-10	0.278427519511099	-0.0011668148445533	-0.00309619011953738	0.0336420905309231
0.8	0.00028	-3.06003919e-10	-6.15437606e-10	0.281370273363269	-0.000543307256287903	-0.00302203170288766	0.0342558205444637
0.8	0.000275	-2.98004512e-10	-6.14966722e-10	0.283997350111185	-0.00199444804471714	-0.00457423697082374	0.0353343949505365
0.8	0.00027	-2.92512859e-10	-6.1408721e-10	0.284927580335611	-0.000741622706302725	-0.00495927232932965	0.0350935352822503
0.8	0.000265	-2.8109417e-10	-6.13180008e-10	0.285226303203676	-0.00159263174335354	-0.00516081147870874	0.0339815145251749
0.8	0.00026	-2.74528441e-10	-6.11933382e-10	0.284263652083221	0.000481800731702568	-0.00573327943874456	0.0338668135857568
0.8	0.000255	-2.6598905e-10	-6.11050711e-10	0.281913990549596	0.00142498031934894	-0.00548093668781804	0.0337930571488379
0.8	0.00025	-2.58317906e-10	-6.10830712e-10	0.282393981646093	0.000527979516004017	-0.00451131997097082	0.03277788615145
0.8	0.000245	-2.56689182e-10	-6.09308707e-10	0.28428988194248	0.000379836369773757	-0.00502658683647541	0.0318989862699863
0.8	0.00024	-2.50568886e-10	-6.07721876e-10	0.283542101274109	-0.000596599602733064	-0.00468083918196974	0.0327136213578626
0.8	0.000235	-2.4294446e-10	-6.07757486e-10	0.283690861102849	0.000448480725685276	-0.00551917568946224	0.0335124616513939
0.8	0.00023	-2.35590978e-10	-6.07002792e-10	0.285202260987645	-0.00105136890931103	-0.00516975484296091	0.0335330008993671
0.8	0.000225	-2.27786437e-10	-6.0532739e-10	0.286674742676825	-0.00138709851891872	-0.00505217168155855	0.0318373056311066
0.8	0.00022	-2.22322862e-10	-6.03676238e-10	0.284689958381744	-0.000864039195052956	-0.00492389606547085	0.0319360066851851
