# qdac_Pg_set	qdac_bias_left_set	lockin1_conductance_3_0	lockin2_conductance_3_1	lockin3_conductance_3_2	lockin4_conductance_3_3
# "Plunger"	"DCbias_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 201	151
-1.4	-0.0003	0.843178424091022	0.0181230055284409	0.0112313713620829	0.187750876857761
-1.4	-0.000296	0.84429079762278	0.0185701272653585	0.0179610842805219	0.187256206664919
-1.4	-0.000292	0.851156676366645	0.0188908605713624	0.0142016827036325	0.18656318274022
-1.4	-0.000288	0.858694862056991	0.02024098456419	0.0202620365412943	0.179951869247278
-1.4	-0.000284	0.865932990403795	0.0217810535320179	0.012133684509977	0.17711114713613
-1.4	-0.00028	0.874095617348923	0.0243372669987284	0.020391397434399	0.181410076555119
-1.4	-0.000276	0.881932547780901	0.0255741202235281	0.0103261609524833	0.185739950209433
-1.4	-0.000272	0.883375343145703	0.0251805410885493	0.013962027607394	0.187682644223633
-1.4	-0.000268	0.880916955667089	0.0268612427870729	0.0138802452494216	0.189566096823431
-1.4	-0.000264	0.87724040018776	0.0294500193451424	0.00638211328594648	0.190392020155248
-1.4	-0.00026	0.876236533851232	0.0305650973348147	0.0109740065995391	0.188238043428366
-1.4	-0.000256	0.875093095791279	0.0329231594243532	0.013631678236176	0.186790807158758
-1.4	-0.000252	0.861285208238424	0.0343007082773924	0.0207668533021638	0.18159080881305
-1.4	-0.000248	0.854851870581683	0.0377202209837888	0.0122836119965365	0.175130606869662
-1.4	-0.000244	0.84699813903318	0.0422120869833337	0.00777941725224919	0.171454806131733
-1.4	-0.00024	0.837266795918746	0.0433255269759555	0.017269409858101	0.171808767023007
-1.4	-0.000236	0.829133395882629	0.0425023464019353	0.0123386162175803	0.176395765480826
-1.4	-0.000232	0.815537272359575	0.0443786727478474	0.0134636684998028	0.177125694972285
-1.4	-0.000228	0.792081434688203	0.0477796178217203	0.0129826929631494	0.173105329273116
-1.4	-0.000224	0.767023541158346	0.0479871213801501	0.00979990185661429	0.176384356914887
-1.4	-0.00022	0.738376160406934	0.0461077268625089	0.0164692200608822	0.180276931356529
-1.4	-0.000216	0.701252925750957	0.0433864009213656	0.00964714683950356	0.177951727688377
-1.4	-0.000212	0.663875793060655	0.0428779868516423	0.0132580613570417	0.177076724548027
-1.4	-0.000208	0.628654496608777	0.0442156932263837	0.00885240154282644	0.169794372958683
-1.4	-0.000204	0.599763674759641	0.0433342994294794	0.0141524265185636	0.166060304304557
-1.4	-0.0002	0.568564756635788	0.0408740880120564	0.0121183422849385	0.163511206151896
