# qdac_LB_set	qdac_bias_left_set	dmm1_curr	dmm2_curr	lockin1_conductance	lockin2_conductance	lockin3_conductance	lockin4_conductance
# "Left Barrier"	"DCbias_left"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 201	121
-0.84	-0.0003	1.93779451e-11	7.50229806e-11	0.00304304813088929	-0.00121157012171461	-0.000389502639699543	0.03425734095747
-0.84	-0.000295	1.91623879e-11	7.36585842e-11	0.00172842755865661	-7.37431006251141e-05	-0.000696347863581233	0.0341251716755338
-0.84	-0.00029	1.73441427e-11	7.31941443e-11	0.00213660973484814	-0.00103169454995732	-0.000140639076679631	0.0349093957690887
-0.84	-0.000285	1.74429117e-11	7.23962376e-11	0.00196827253553974	-0.00092046265051562	0.000708904986210569	0.0347261121719682
-0.84	-0.00028	1.86003469e-11	7.10629263e-11	0.00322574892594995	-0.00169750674073357	0.000171492214339521	0.0336547323821936
-0.84	-0.000275	1.93392529e-11	7.12703099e-11	0.00329593916042531	-0.000882303121796295	-0.000691159770473772	0.0331042499079752
-0.84	-0.00027	1.68832788e-11	7.03394843e-11	0.0029509124031432	-0.0014686428850645	-0.000446489370939125	0.0328351778286672
-0.84	-0.000265	1.69408411e-11	6.93579782e-11	0.00311329442375466	-0.00168265622318231	0.000612972370557439	0.033120865068648
-0.84	-0.00026	1.80267535e-11	6.82961591e-11	0.00267268998763069	-0.0017912550018047	0.000435331229953041	0.0338455059272836
-0.84	-0.000255	1.78826129e-11	6.7441467e-11	0.00251080924527243	-0.00212892597509939	-0.000262237100049347	0.0339542810849789
-0.84	-0.00025	1.72370931e-11	6.58812006e-11	0.00377785811889596	-0.0017135295281578	-0.000673836359971336	0.0341470645289579
-0.84	-0.000245	1.63151049e-11	6.49780266e-11	0.00504785928724461	-0.00181906218621475	-0.000210261826722537	0.0343128059508774
-0.84	-0.00024	1.53464007e-11	6.78186825e-11	0.00528509942898697	-0.00228469242176533	0.000822647848709778	0.0350980199539206
-0.84	-0.000235	1.59022903e-11	6.6067523e-11	0.00511583316450344	-0.00181720371380814	0.00128501499016115	0.0350551722002631
-0.84	-0.00023	1.59520196e-11	6.54899277e-11	0.00776898834045044	-0.00222058845381078	0.000975642652256796	0.0352224367698544
-0.84	-0.000225	1.39365537e-11	6.37477822e-11	0.00764062419279343	-0.00349485552908414	0.00147429196447937	0.0347774179062285
-0.84	-0.00022	1.4785251e-11	6.25723555e-11	0.00683766087290756	-0.00245024977428684	0.0013303435840248	0.0338990786086649
-0.84	-0.000215	1.49226114e-11	6.18247971e-11	0.00561659697171227	-0.00206487430549882	0.000543993287957801	0.0339362822389429
-0.84	-0.00021	1.46152728e-11	6.01913933e-11	0.00584630648891973	-0.00128000904410527	-0.000248508369870743	0.0335540515096083
-0.84	-0.000205	1.29748921e-11	5.92138026e-11	0.00562083348222662	-0.0020896394675682	-0.000142704168299108	0.0336372777130036
-0.84	-0.0002	1.26895672e-11	5.78812778e-11	0.00521438484363895	-0.00196969928998372	0.000541280095932104	0.0334042416087372
-0.84	-0.000195	1.25307892e-11	5.68824947e-11	0.00599397523212023	-0.00253497998330547	0.00115257507291897	0.0332072824985571
-0.84	-0.00019	1.22999511e-11	5.6495283e-11	0.00623243054209345	-0.000900367596894265	0.000978374473410933	0.0328934594149029
-0.84	-0.000185	1.08369727e-11	5.53432914e-11	0.004352451170806	-0.00125768071301133	-3.54786947426159e-05	0.0323482819786826
-0.84	-0.00018	1.14334436e-11	5.42793624e-11	0.00360093954190881	-0.000520494481506553	0.000653754594588632	0.0322584682303254
