# i3d_field_set	qdac_bias_right_set	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "field"	"DCbias_right"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 26	101
0	-0.0003	0.287774996646028	0.000580806517965184	0.00190280231518666	0.0447048095369926
0	-0.000294	0.287629715174766	0.000567334472835561	0.0020378309167172	0.0441552841576846
0	-0.000288	0.287067949909496	0.000502207225589748	0.00196826587006832	0.0424510297276032
0	-0.000282	0.286819017846579	0.000144343203315092	0.00182881309919481	0.0409084914560903
0	-0.000276	0.286568182510893	0.000663512002129385	0.00176060644312142	0.0401745367022201
0	-0.00027	0.286438958356236	0.000161055066743646	0.00143531993087943	0.0404443826594802
0	-0.000264	0.286325222692706	0.000138257396148575	0.00147639415417507	0.0397856828777405
0	-0.000258	0.286489646071572	0.000556053746853131	0.00118407980393903	0.0398350470778729
0	-0.000252	0.286725889798131	9.95547803787509e-05	0.00102547266661929	0.0412560972424026
0	-0.000246	0.286845225818177	0.000987695035667197	0.000700889405209103	0.0449536513714476
0	-0.00024	0.286647572141455	0.000696427080257467	-0.000124053365999479	0.0525070247796344
0	-0.000234	0.286833456303156	0.00135455055489733	-0.000676318781125143	0.0642650455961863
0	-0.000228	0.287027040960938	0.0011218764376507	-0.00219152132284094	0.0802031465713553
0	-0.000222	0.287248911884505	0.00134944582300429	-0.00357777990596556	0.0996527561775232
0	-0.000216	0.287829622120113	0.00104297954870796	-0.00501484157781146	0.121120243676233
0	-0.00021	0.288540125335859	0.000741131169937546	-0.00598285926318721	0.140968917937671
0	-0.000204	0.289101781209807	0.00165299962454028	-0.00678349137483373	0.154584336504435
0	-0.000198	0.289737904480646	0.00153746874713586	-0.00764360622607922	0.160419539330182
0	-0.000192	0.29035169193203	0.000918314657003137	-0.00818186728706964	0.16153433019171
0	-0.000186	0.290933736638416	0.00185294828800779	-0.00880006146252334	0.158371499292721
0	-0.00018	0.291808575710574	0.000787113408029027	-0.00918132279236165	0.15754426337074
0	-0.000174	0.292863151654796	0.00125801663607455	-0.010097547308711	0.161465222499821
