# qdac_RB_set	qdac_bias_right_set	lockin4_conductance
# "Right Barrier"	"DCbias_right"	"Conductance dIR/dVR"
# 19	101
-0.84	-0.0003	0.0370655601401375
-0.84	-0.000294	0.0382240874868818
-0.84	-0.000288	0.0393214291499603
-0.84	-0.000282	0.038599405259201
-0.84	-0.000276	0.0387480420373837
-0.84	-0.00027	0.0378569624434063
-0.84	-0.000264	0.0381742502097999
-0.84	-0.000258	0.0372674879404186
-0.84	-0.000252	0.037485937922272
-0.84	-0.000246	0.0366828262539411
-0.84	-0.00024	0.0367096905288433
-0.84	-0.000234	0.0365220015630062
-0.84	-0.000228	0.0365242001453661
-0.84	-0.000222	0.0368874940754739
-0.84	-0.000216	0.0372743790205789
-0.84	-0.00021	0.0384226052939773
-0.84	-0.000204	0.039519873124373
-0.84	-0.000198	0.0408633193301527
-0.84	-0.000192	0.0412466384141189
-0.84	-0.000186	0.0422982036141194
-0.84	-0.00018	0.0414539150037593
-0.84	-0.000174	0.0412356646416903
-0.84	-0.000168	0.039603498571565
-0.84	-0.000162	0.0387059736300698
-0.84	-0.000156	0.036898344792648
-0.84	-0.00015	0.0361384199610072
-0.84	-0.000144	0.0347105224704971
-0.84	-0.000138	0.0342002926551567
-0.84	-0.000132	0.0330826578564932
-0.84	-0.000126	0.0319806182272226
-0.84	-0.00012	0.031622878179348
-0.84	-0.000114	0.0306366114361334
-0.84	-0.000108	0.030847071047821
-0.84	-0.000102	0.0297265212111859
-0.84	-9.6e-05	0.0302138627938129
-0.84	-9e-05	0.0303267343152254
-0.84	-8.4e-05	0.032169945192459
-0.84	-7.8e-05	0.0345280729120929
-0.84	-7.2e-05	0.0373757079816659
-0.84	-6.6e-05	0.0376224633522323
-0.84	-6e-05	0.0367535090493299
-0.84	-5.4e-05	0.0334395501932631
-0.84	-4.8e-05	0.0298996185890371
-0.84	-4.2e-05	0.0266451445213369
-0.84	-3.6e-05	0.0251707076261103
-0.84	-3e-05	0.0253024639890425
-0.84	-2.4e-05	0.0252425362022293
-0.84	-1.8e-05	0.0264867070981119
-0.84	-1.2e-05	0.0265594107319918
-0.84	-5.99999999999998e-06	0.0263589185747809
-0.84	0	0.0254575215022828
-0.84	5.99999999999998e-06	0.0243280816252609
-0.84	1.2e-05	0.0227004590204723
-0.84	1.8e-05	0.0217546226837629
-0.84	2.4e-05	0.0206228556997953
-0.84	3e-05	0.019614723449108
-0.84	3.6e-05	0.0185580870165628
-0.84	4.2e-05	0.0175548933734803
-0.84	4.8e-05	0.0177428106754395
-0.84	5.4e-05	0.0181747829737273
-0.84	6e-05	0.0191299113306953
-0.84	6.6e-05	0.0191710499869362
-0.84	7.2e-05	0.019405197687908
-0.84	7.8e-05	0.0184280602591602
-0.84	8.4e-05	0.0181454521291011
-0.84	9e-05	0.0184467659875991
-0.84	9.6e-05	0.0189907716665847
-0.84	0.000102	0.0197815053699504
-0.84	0.000108	0.0203002738340661
-0.84	0.000114	0.0210070060875772
-0.84	0.00012	0.0204023602681651
-0.84	0.000126	0.0206002969823081
-0.84	0.000132	0.0201382240620311
-0.84	0.000138	0.0211797780526702
-0.84	0.000144	0.0217119444725611
-0.84	0.00015	0.0246453311082151
-0.84	0.000156	0.0257076431118548
-0.84	0.000162	0.0279692628894993
-0.84	0.000168	0.0294272213526358
-0.84	0.000174	0.0295318071708018
-0.84	0.00018	0.030428213678223
-0.84	0.000186	0.0301902471710534
-0.84	0.000192	0.0314626086029819
-0.84	0.000198	0.0313630871825757
-0.84	0.000204	0.0325655889177599
-0.84	0.00021	0.0322911215611865
-0.84	0.000216	0.0330694718283767
-0.84	0.000222	0.0324415303284575
-0.84	0.000228	0.033074878045244
-0.84	0.000234	0.0331813479709696
-0.84	0.00024	0.0337555827969999
-0.84	0.000246	0.0334801802209619
-0.84	0.000252	0.0337702427492771
-0.84	0.000258	0.0334996529920982
-0.84	0.000264	0.0324861856232656
-0.84	0.00027	0.0327993824948034
-0.84	0.000276	0.0318470789337209
-0.84	0.000282	0.0321873533756222
-0.84	0.000288	0.0314237286884558
-0.84	0.000294	0.0315611565204841
-0.84	0.0003	0.0310448532599342

-0.839666666666667	-0.0003	0.0389149347074854
-0.839666666666667	-0.000294	0.0414596548347978
-0.839666666666667	-0.000288	0.0422394216033385
-0.839666666666667	-0.000282	0.0420873721024723
-0.839666666666667	-0.000276	0.0416124782164347
-0.839666666666667	-0.00027	0.041611600424478
-0.839666666666667	-0.000264	0.0404237176215868
-0.839666666666667	-0.000258	0.0406395752475544
-0.839666666666667	-0.000252	0.0396340654361887
-0.839666666666667	-0.000246	0.0396671426214277
-0.839666666666667	-0.00024	0.0392636097029512
-0.839666666666667	-0.000234	0.0395019754567364
-0.839666666666667	-0.000228	0.0396733199825211
-0.839666666666667	-0.000222	0.0402503768697714
-0.839666666666667	-0.000216	0.0407575002275944
-0.839666666666667	-0.00021	0.0416975639168083
-0.839666666666667	-0.000204	0.042989124665057
-0.839666666666667	-0.000198	0.0433743114490588
-0.839666666666667	-0.000192	0.0447451770466585
-0.839666666666667	-0.000186	0.0444470940673257
-0.839666666666667	-0.00018	0.0445862747490715
-0.839666666666667	-0.000174	0.0436023460509952
-0.839666666666667	-0.000168	0.0422877384678839
-0.839666666666667	-0.000162	0.0415972795547635
-0.839666666666667	-0.000156	0.0403900798533873
-0.839666666666667	-0.00015	0.0389418235924989
-0.839666666666667	-0.000144	0.0375168493401989
-0.839666666666667	-0.000138	0.0364090671456941
-0.839666666666667	-0.000132	0.0351224176590988
-0.839666666666667	-0.000126	0.0343497880835764
-0.839666666666667	-0.00012	0.033170751569241
-0.839666666666667	-0.000114	0.0332099295486947
-0.839666666666667	-0.000108	0.0321485062761439
-0.839666666666667	-0.000102	0.0323082808972959
-0.839666666666667	-9.6e-05	0.0324315628739807
-0.839666666666667	-9e-05	0.0334748861202169
-0.839666666666667	-8.4e-05	0.0349194261204047
-0.839666666666667	-7.8e-05	0.0373810485684378
-0.839666666666667	-7.2e-05	0.0383334150254199
-0.839666666666667	-6.6e-05	0.0378506565586668
-0.839666666666667	-6e-05	0.0379306423120371
-0.839666666666667	-5.4e-05	0.0347341654375638
-0.839666666666667	-4.8e-05	0.032959293844538
-0.839666666666667	-4.2e-05	0.0298115057345695
-0.839666666666667	-3.6e-05	0.0282886890788979
-0.839666666666667	-3e-05	0.0271935159196762
-0.839666666666667	-2.4e-05	0.0282147576290174
-0.839666666666667	-1.8e-05	0.0281296473185324
-0.839666666666667	-1.2e-05	0.0287523740187812
-0.839666666666667	-5.99999999999998e-06	0.0280254033194739
-0.839666666666667	0	0.027323940555422
-0.839666666666667	5.99999999999998e-06	0.0258124039396939
-0.839666666666667	1.2e-05	0.0248354757060533
-0.839666666666667	1.8e-05	0.0233012641561267
-0.839666666666667	2.4e-05	0.0218540442933374
-0.839666666666667	3e-05	0.0213199992335739
-0.839666666666667	3.6e-05	0.0200969869618216
-0.839666666666667	4.2e-05	0.020108347673461
