# qdac_Pg_set	qdac_bias_right_set	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "Plunger"	"DCbias_right"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 81	101
-1.5	-0.0003	0.415863314894132	0.000962298447600224	0.0021962685115811	0.121224167729751
-1.5	-0.000294	0.416107412269321	0.000412511277005667	0.00292680285091597	0.121806682790636
-1.5	-0.000288	0.415926144036192	-1.65215300716084e-05	0.00389202752942573	0.121400327810939
-1.5	-0.000282	0.414872880670391	0.000900531670230296	0.00488422278926365	0.12021280870542
-1.5	-0.000276	0.414565604133795	0.000742514940568267	0.00550797529119323	0.119138237688192
-1.5	-0.00027	0.414503868787509	0.00124824282119784	0.00678816678132641	0.118915929246315
-1.5	-0.000264	0.41463040215523	0.000161036020990944	0.0082213781990246	0.120081068747663
-1.5	-0.000258	0.414700450537324	5.76406105095997e-05	0.00943211368303674	0.120122305849047
-1.5	-0.000252	0.415126953726134	0.000244574305546146	0.0107566531725558	0.119211151880988
-1.5	-0.000246	0.415303277880212	0.00042183491563155	0.0112341113868581	0.118078892676942
-1.5	-0.00024	0.414862204974634	-0.000587528312294084	0.0119533419273327	0.116731566135223
-1.5	-0.000234	0.415402596932544	8.66110372649373e-06	0.0128407353391124	0.117209916498124
-1.5	-0.000228	0.415446043562468	-0.000144889569685827	0.0143695598138914	0.116888409313229
-1.5	-0.000222	0.415131066482811	0.000138346974210192	0.0159249778429521	0.116767093484072
-1.5	-0.000216	0.415541993658041	-0.00097448516609135	0.0173012496576541	0.116619099328818
-1.5	-0.00021	0.416214825621796	-0.000303779210119017	0.0192581073029944	0.116255140899866
-1.5	-0.000204	0.416441509340733	-0.000592076092093065	0.0206583406620316	0.115847057680563
-1.5	-0.000198	0.417270889165856	-9.90838960264517e-06	0.0224462984732817	0.116582259392154
-1.5	-0.000192	0.417926920013086	-0.000846056756611257	0.0246220490996267	0.118095551591795
-1.5	-0.000186	0.418760456356113	-0.000254702886299896	0.0277567742367332	0.11951807841703
-1.5	-0.00018	0.419039162261163	-0.000272725680790659	0.0296784860063932	0.117597238970935
-1.5	-0.000174	0.418922167032196	-0.000262899994813301	0.0312460509312755	0.112447829907164
-1.5	-0.000168	0.41941071182541	-0.000300275560602691	0.0318971814630316	0.107376125976784
-1.5	-0.000162	0.420400008468659	-0.00116189008062354	0.0312140374867984	0.100147776394409
-1.5	-0.000156	0.420697659367537	-0.00139439320267314	0.0303569429532176	0.0935479480366335
-1.5	-0.00015	0.421418882040266	-0.00178064065287587	0.0290114102788513	0.0877438097625709
-1.5	-0.000144	0.421563572864159	-0.00233624341167571	0.0290389472551852	0.0855416829782294
-1.5	-0.000138	0.421951879760214	-0.00358183832848765	0.0289073959827779	0.0851214091096298
-1.5	-0.000132	0.42271939300235	-0.00236088808245684	0.0308854778830487	0.0885097533508069
-1.5	-0.000126	0.424434462593315	-0.00251674459841885	0.0324461243834636	0.0911870037241712
-1.5	-0.00012	0.425585644910575	-0.00278138498838234	0.0339400313156307	0.0936564661451573
-1.5	-0.000114	0.427068911682136	-0.00321667669552545	0.034616628765007	0.0939008041671619
-1.5	-0.000108	0.427398152196952	-0.00262620493313643	0.035030613156391	0.093722029851823
-1.5	-0.000102	0.428771992998925	-0.00263600643531621	0.034362826443978	0.093930753021317
-1.5	-9.6e-05	0.430967031803424	-0.00319728425172671	0.0328375596270458	0.0920049257466899
-1.5	-9e-05	0.431761540578304	-0.00341927445975396	0.0310105236462342	0.0907515311939004
-1.5	-8.4e-05	0.432577356983469	-0.00259378472417971	0.0283278971392035	0.0889312030786397
-1.5	-7.8e-05	0.434259130622993	-0.00258615668099951	0.0276574059524334	0.0899752673929479
-1.5	-7.2e-05	0.435523545455379	-0.00291337754942421	0.0277222450032489	0.09144281594221
-1.5	-6.6e-05	0.435836684892362	-0.00285097174074069	0.027431930893684	0.093352033524556
-1.5	-6e-05	0.436742894774323	-0.00375361833344548	0.0274075495950902	0.0954162074431522
-1.5	-5.4e-05	0.437710577482188	-0.0038807953416673	0.0277360763861411	0.0969025259836159
-1.5	-4.8e-05	0.43901301356242	-0.00417056424788829	0.0270800619370388	0.09828831131733
-1.5	-4.2e-05	0.440202654669327	-0.00388607132531139	0.025719743520945	0.0984129742437729
-1.5	-3.6e-05	0.441879265470645	-0.00500575533280121	0.0231981768745816	0.0932166730170455
-1.5	-3e-05	0.443000258319821	-0.00482631207719411	0.0209136852717475	0.0902581134295192
-1.5	-2.4e-05	0.444508945525324	-0.00477582397506579	0.0176144109787738	0.0885796048426149
-1.5	-1.8e-05	0.445482009830549	-0.00428052722809792	0.0168851063351522	0.0895244266597246
-1.5	-1.2e-05	0.446024501928025	-0.00571504097779368	0.0152721464173064	0.0914282024759597
-1.5	-5.99999999999998e-06	0.445693248796097	-0.00582041639882629	0.0138796231378942	0.0921831969042274
-1.5	0	0.445920763837406	-0.00625454421072211	0.0124737606959034	0.0937165826173205
-1.5	5.99999999999998e-06	0.446502458524447	-0.00726494272427672	0.00965392648662069	0.0926598409057868
-1.5	1.2e-05	0.447524438555919	-0.00745208204511104	0.00833960398100679	0.0913646295245841
-1.5	1.8e-05	0.448109502223208	-0.0077324765523843	0.0062262941991051	0.0912368054520095
-1.5	2.4e-05	0.448133128799194	-0.00906482183130128	0.00543839759715046	0.0918693464753265
-1.5	3e-05	0.447673460919134	-0.0104370984599808	0.00462338890091217	0.0955258631274697
-1.5	3.6e-05	0.447578123363289	-0.0102337404890143	0.00422193424444149	0.0987447086669823
-1.5	4.2e-05	0.447318143669421	-0.0106429257346323	0.00385886420480379	0.102699226263188
-1.5	4.8e-05	0.44638183179485	-0.0104517338021467	0.0012862539148423	0.103422406871461
-1.5	5.4e-05	0.446685826897141	-0.00986193593681286	0.000353844054459703	0.10498520546586
-1.5	6e-05	0.44595257218901	-0.011164298862978	-0.00275614931184991	0.1022000495237
-1.5	6.6e-05	0.444645892068419	-0.0113492396009827	-0.00488301103924735	0.100660516530365
-1.5	7.2e-05	0.443985660942058	-0.0120234942199082	-0.00838982614782719	0.093957037571539
-1.5	7.8e-05	0.443433936987437	-0.0115443645080796	-0.0105515642277872	0.0898102205469663
-1.5	8.4e-05	0.442269847551174	-0.0112001420520806	-0.0121413002476318	0.0872192125938381
-1.5	9e-05	0.440820664268711	-0.0112069968996833	-0.0134418686217208	0.0885276045324167
-1.5	9.6e-05	0.439584470072015	-0.0110916225755194	-0.014507032766258	0.0923912965948613
-1.5	0.000102	0.438218636047731	-0.0113244952899752	-0.0166162188382562	0.0963645951190518
-1.5	0.000108	0.437127920236074	-0.0107536089283286	-0.0181661130647611	0.0997672684348798
-1.5	0.000114	0.436067962671002	-0.0102810708632255	-0.0184473183679721	0.100222221938874
-1.5	0.00012	0.435027781422131	-0.0100742926467787	-0.0193429810761791	0.10156704362837
-1.5	0.000126	0.433096091268258	-0.00967201762374528	-0.0208472861569186	0.105491984270379
-1.5	0.000132	0.431608142938029	-0.00949432414188539	-0.0213306038407087	0.108794463462021
-1.5	0.000138	0.431088796113513	-0.00980894093063938	-0.0234145896144133	0.113466944132633
-1.5	0.000144	0.429605398081761	-0.0100556669041377	-0.0251217372018528	0.11731881744574
-1.5	0.00015	0.428845060318432	-0.00947523489221521	-0.0262783394210534	0.119991944106852
-1.5	0.000156	0.426937390497627	-0.00848924433918714	-0.0272858181117938	0.121390549039463
-1.5	0.000162	0.426422462711397	-0.00913555590037836	-0.0274004452194686	0.121705329217088
-1.5	0.000168	0.425316127101444	-0.00887933896756729	-0.0274730367348772	0.123162628652121
