# i3d_field_set	qdac_bias_left_set	dmm1_curr_3_4	dmm2_curr_3_5	lockin1_conductance_3_0	lockin2_conductance_3_1	lockin3_conductance_3_2	lockin4_conductance_3_3
# "field"	"DCbias_left"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 111	201
-0.1	0.0004	-7.37594348e-11	-3.61879261e-09	0.210109742013027	0.000554765472028061	-0.00184379709727315	0.00859742883260023
-0.1	0.000396	-7.05370392e-11	-3.58515086e-09	0.215858631320051	-0.000172025004067972	0.0046297050409061	0.00869100532956397
-0.1	0.000392	-7.23466957e-11	-3.54685905e-09	0.213188129834571	0.000134956242616743	0.000359997125281551	0.00843990475010567
-0.1	0.000388	-7.49009893e-11	-3.51081033e-09	0.215645992267723	0.000402966139344433	-0.000155002704471773	0.00858931745688726
-0.1	0.000384	-7.11720978e-11	-3.47318695e-09	0.21859513404695	0.000172464722762066	-0.000597347503710749	0.00853106731813155
-0.1	0.00038	-7.3465778e-11	-3.43418632e-09	0.216609015290487	-7.67226714716026e-05	0.00315258486218562	0.00853437886523429
-0.1	0.000376	-7.24810775e-11	-3.39752452e-09	0.219161799620648	0.000115367188612824	-0.000165831032401497	0.00825589649572559
-0.1	0.000372	-7.14939507e-11	-3.35384725e-09	0.220244071145701	-0.000521803778280727	0.00221222276420263	0.00855516285567907
-0.1	0.000368	-7.52839552e-11	-3.31885961e-09	0.222587213501474	5.77846660510809e-05	0.000878316823178699	0.00787199153419913
-0.1	0.000364	-7.03688657e-11	-3.27518344e-09	0.224593874242925	-0.000653888758711649	-0.00387482512296721	0.00838069751690936
-0.1	0.00036	-7.54120923e-11	-3.24150557e-09	0.23086204474437	-0.000103264482943834	0.00183015063875542	0.0081866288322405
-0.1	0.000356	-7.28783121e-11	-3.20312396e-09	0.226604078967251	-0.000279929483296202	-0.00202527469139268	0.00815943504258178
-0.1	0.000352	-7.55117343e-11	-3.16064859e-09	0.230148150688904	-0.000846503600102878	0.00261832240529127	0.00849526651446674
-0.1	0.000348	-7.24150384e-11	-3.1225413e-09	0.230202404274774	0.000432110179676879	0.000464667287370553	0.00784136587778833
-0.1	0.000344	-7.24574756e-11	-3.08579711e-09	0.23260881330971	-0.000446743513707465	0.00164528253738744	0.00858469058871254
-0.1	0.00034	-7.36503788e-11	-3.04463498e-09	0.233395205906182	0.000194718312907996	-0.000925827336122976	0.0079707110469181
-0.1	0.000336	-7.56224005e-11	-3.00238801e-09	0.234518452014587	-0.000305288001238055	-0.00493666883351356	0.0083062335138037
-0.1	0.000332	-7.1407642e-11	-2.95968534e-09	0.238648659349228	0.000141117517111265	-0.00187734907054213	0.00835024140271951
-0.1	0.000328	-7.45965833e-11	-2.91813202e-09	0.241729037923712	-0.000325060804565191	-0.000143136014463587	0.00842091599552087
-0.1	0.000324	-7.01101743e-11	-2.87824985e-09	0.244108320165713	0.000368641995924694	-0.000175877053074302	0.00851619201880658
-0.1	0.00032	-7.5190813e-11	-2.83715967e-09	0.246381523521318	0.000199614919473801	0.00070912353701237	0.00825126074000509
-0.1	0.000316	-7.07307056e-11	-2.79284432e-09	0.248623224797533	0.000365988579597342	0.0011338329407298	0.00844640684017327
-0.1	0.000312	-7.4859867e-11	-2.74763062e-09	0.25842234115187	0.000586004352937176	0.00673393985785862	0.00854753754716448
-0.1	0.000308	-7.43196472e-11	-2.70281156e-09	0.262271961191654	-0.00031768209731494	-0.00131077424870286	0.00877277743265783
-0.1	0.000304	-7.10475792e-11	-2.65602381e-09	0.263271758518637	-0.000435719109591068	-0.00361993513325159	0.00895235433970274
-0.1	0.0003	-7.36493921e-11	-2.60883705e-09	0.26892023493997	-0.000693361515104919	0.00151396558250803	0.00877053988283985
-0.1	0.000296	-7.35152945e-11	-2.56583975e-09	0.268533896909195	-0.000578001547442176	-0.00144836632533029	0.00871008979368678
-0.1	0.000292	-7.21735923e-11	-2.51640778e-09	0.277458305456263	-0.00118567669900291	0.00173811301320359	0.00912313896654568
-0.1	0.000288	-7.16677437e-11	-2.46619282e-09	0.288787066650532	-0.000992899066129598	-0.00206567125762062	0.00873433094689288
-0.1	0.000284	-7.09787028e-11	-2.41460092e-09	0.291792212131151	-0.000832514723961234	0.00173556423635887	0.00831703295822907
-0.1	0.00028	-7.10011071e-11	-2.36278979e-09	0.298300914156042	-0.000843802371781178	0.00148128747071875	0.0086483394238877
-0.1	0.000276	-7.29776423e-11	-2.30735176e-09	0.31346150984093	-0.00126440114007789	-0.00316820840445068	0.00866268421969475
-0.1	0.000272	-7.09804433e-11	-2.24997241e-09	0.324948503367899	-0.0010663061635401	0.00142941559781877	0.0080985939126892
-0.1	0.000268	-7.39856384e-11	-2.1853528e-09	0.354490543250104	-0.00105073295415565	0.00157805109224487	0.00836947763491129
-0.1	0.000264	-6.8583277e-11	-2.12463167e-09	0.375208478084308	-0.00154669923995512	-0.000801122451519154	0.00829670905636407
-0.1	0.00026	-7.45599929e-11	-2.05362987e-09	0.40578916785432	-0.00147164884547641	0.000205934370931209	0.00818309988791291
-0.1	0.000256	-6.80538595e-11	-1.97547032e-09	0.454543058657896	-0.00267628900479311	-0.00197310723007947	0.00842104930494931
-0.1	0.000252	-6.68361237e-11	-1.88899316e-09	0.503289948999384	-0.00268350156638891	0.000780134223646742	0.00816227077712983
-0.1	0.000248	-7.15357424e-11	-1.79254266e-09	0.555744590650869	-0.00405302791569661	0.00612909646696011	0.00802430423711696
-0.1	0.000244	-6.57216136e-11	-1.6857535e-09	0.613694989196861	-0.00523361697359742	-0.00551579509498905	0.00810554788780954
-0.1	0.00024	-6.83168626e-11	-1.57305011e-09	0.659210422264593	-0.00782229303493733	0.00370633718128911	0.00793530948845944
-0.1	0.000236	-6.30865115e-11	-1.45104177e-09	0.699567739393448	-0.0120128950818698	-0.00516139120432848	0.00779738123235572
-0.1	0.000232	-6.15476289e-11	-1.330307e-09	0.727093602254921	-0.0168093194905267	0.00489416016476769	0.00720801542680598
-0.1	0.000228	-5.8990742e-11	-1.20862555e-09	0.716255704747888	-0.0218711831210989	-0.00315287028141052	0.00729784763333392
-0.1	0.000224	-5.45488041e-11	-1.09140708e-09	0.686082398156138	-0.0258615603146358	-0.00623563339034887	0.00725986533791228
-0.1	0.00022	-4.77596437e-11	-9.82947739e-10	0.643113033388013	-0.0276844069549786	0.00350319387311671	0.00658092095585194
-0.1	0.000216	-4.37039583e-11	-8.82738856e-10	0.576056651756726	-0.0272102377271401	-0.0040806684631332	0.0064399108556307
-0.1	0.000212	-4.12363475e-11	-7.97323901e-10	0.505011756527356	-0.0255532500951098	0.00569738326802089	0.00543314998478121
-0.1	0.000208	-3.64202194e-11	-7.23112156e-10	0.428376466858138	-0.0239534693684816	-0.00207465888770443	0.00556860893696508
-0.1	0.000204	-3.12822053e-11	-6.60712282e-10	0.359930405886219	-0.0224875642865407	0.00325806658912744	0.00518906251564918
-0.1	0.0002	-2.76955616e-11	-6.05147393e-10	0.311961945110646	-0.0203655531481928	0.00345402211757172	0.00465693096131193
-0.1	0.000196	-2.69185449e-11	-5.57159828e-10	0.275162328720612	-0.0191482191814958	-0.00170492781224333	0.00453910237346622
-0.1	0.000192	-2.11584075e-11	-5.15509071e-10	0.242005534321364	-0.01662472330653	0.000886786511354247	0.00449440879474895
-0.1	0.000188	-2.23884642e-11	-4.78471984e-10	0.216671888193774	-0.0161411895928479	0.000318097514786673	0.00432515859563897
-0.1	0.000184	-1.49090285e-11	-4.44868513e-10	0.191783252725814	-0.0153886959164498	1.61617503968075e-05	0.00407561500412977
-0.1	0.00018	-1.7384731e-11	-4.1440191e-10	0.176214190980182	-0.0151579417992606	0.000606430330553416	0.00385118488878096
-0.1	0.000176	-9.00771234e-12	-3.84315647e-10	0.169808034800293	-0.0157598940810988	-0.00149525558134785	0.00388876417896043
-0.1	0.000172	-6.77132294e-12	-3.56550156e-10	0.164831252766922	-0.0163037206465338	0.000873261826025693	0.00357947293767985
-0.1	0.000168	-8.84844473e-12	-3.28840605e-10	0.161356813773224	-0.0164379162344132	0.00188179015992974	0.00308116612858353
-0.1	0.000164	-2.37441547e-12	-3.01822621e-10	0.158766292570373	-0.0170300747048195	-0.00118158238546278	0.00337021242837972
-0.1	0.00016	-2.05207283e-12	-2.7441308e-10	0.154824889903797	-0.0177229113136154	0.00162577387504517	0.00296730196287616
-0.1	0.000156	3.03564724e-12	-2.4800345e-10	0.155882473858043	-0.0175640883171029	-0.000963424571834957	0.00307064184906822
-0.1	0.000152	5.68307405e-12	-2.21779857e-10	0.152009697603819	-0.0178629369736795	0.00149696279869957	0.00249697205150948
-0.1	0.000148	6.70895366e-12	-1.99316555e-10	0.135236895367871	-0.0165010161074299	-0.000886077834153796	0.00253710165673023
-0.1	0.000144	9.64205934e-12	-1.80166409e-10	0.11463610890109	-0.0136287659340445	-0.000452422929579279	0.00249766115957249
-0.1	0.00014	1.36317681e-11	-1.63081842e-10	0.0950239080785924	-0.0107509714495207	0.00125074459787417	0.00199011394483468
-0.1	0.000136	1.14707878e-11	-1.49231466e-10	0.0765968691771053	-0.00832036569769836	-0.000505859011134145	0.0020571346582708
-0.1	0.000132	1.71089836e-11	-1.37522829e-10	0.0650366606511695	-0.00769878272424443	0.000784102149455011	0.00182510606710986
-0.1	0.000128	1.39776338e-11	-1.27175548e-10	0.0567690431658215	-0.00633729801954237	0.000753721235374853	0.00166223507377065
-0.1	0.000124	2.00274557e-11	-1.19311097e-10	0.0504637264625461	-0.00613077685156238	0.000915061390247318	0.00169920541259585
-0.1	0.00012	1.59132394e-11	-1.105318e-10	0.0468488953753366	-0.00572369653011775	0.000877000732773546	0.00150992903646518
-0.1	0.000116	1.65803198e-11	-1.04236874e-10	0.041534945358051	-0.0050490710372609	-0.00081463141315467	0.00147032959322279
-0.1	0.000112	2.18919584e-11	-9.76767033e-11	0.0351691730934725	-0.00375379505401097	3.23997612507541e-05	0.00139786950661389
-0.1	0.000108	1.84691948e-11	-9.29638795e-11	0.0310651600702565	-0.00283779186569229	-0.000102521164473642	0.0013077472664593
-0.1	0.000104	2.19906779e-11	-8.57874999e-11	0.0325441007793429	-0.00174257068083788	-0.00106118322979543	0.00141563018967763
-0.1	0.0001	2.03354545e-11	-7.62187523e-11	0.0448689321017022	-0.00139882437930898	0.000506097216575734	0.00139119496884296
-0.1	9.60000000000001e-05	2.11598878e-11	-6.78867907e-11	0.0645413286960279	-0.00196939883066171	-0.000913556017338147	0.00123674820166049
-0.1	9.2e-05	2.19341976e-11	-5.68569357e-11	0.0711348894525035	-0.00183764844875935	0.000540276599416701	0.00135254586920834
-0.1	8.8e-05	2.20580155e-11	-4.56102507e-11	0.0596766470421918	-0.00220620588706165	0.000181767670647675	0.0011867504394048
-0.1	8.4e-05	2.01523575e-11	-3.78301114e-11	0.0449285071326246	-0.00100230115233344	-0.00119338797523796	0.00140037000145976
-0.1	8e-05	2.42665041e-11	-2.95555638e-11	0.0352995949940829	-0.00121517452251799	0.000257370829963981	0.00134011304067793
-0.1	7.60000000000001e-05	2.01103623e-11	-2.53121947e-11	0.0345633049278608	-0.000563017036631649	-0.000332334231422278	0.00125337472775574
-0.1	7.2e-05	2.46770427e-11	-2.06252937e-11	0.0318879578065945	9.84945418515696e-05	0.000194596774723418	0.0012987639945051
-0.1	6.8e-05	1.96931864e-11	-1.56808804e-11	0.0233714164487023	-0.000365159710122553	-0.00048669840646982	0.00135263653678592
-0.1	6.4e-05	2.46773801e-11	-1.21690846e-11	0.0163162927668849	0.000703602981760449	0.000434184553830082	0.00151815885279605
-0.1	6e-05	2.47932091e-11	-9.82954573e-12	0.0132662650240782	-6.86417281755151e-06	0.000548802645099519	0.00130883416689331
-0.1	5.60000000000001e-05	2.00217776e-11	-7.26453227e-12	0.0109152054477431	0.000567935946939436	0.000148320721429259	0.00138179424992494
-0.1	5.2e-05	2.45758014e-11	-5.6225097e-12	0.0118389404213494	-0.000100737101862584	0.000147354397804632	0.00127339295747455
-0.1	4.8e-05	2.08717385e-11	-3.63458752e-12	0.0123065166353645	0.000215631767792505	7.13045712442823e-05	0.00129656541172242
-0.1	4.4e-05	2.27850737e-11	-1.77371019e-12	0.0108782486105836	0.000360329373801694	-0.000130053056025485	0.000992855142307338
-0.1	4.00000000000001e-05	2.2207451e-11	6.3224296e-14	0.0117759307885395	-0.000268043352305429	0.000105938611391743	0.000971333932429556
-0.1	3.60000000000001e-05	2.15843465e-11	2.36633944e-12	0.0114285594914644	-1.99368806789585e-05	-0.000500326064901406	0.000990623744852759
-0.1	3.2e-05	2.19424561e-11	4.70446435e-12	0.0105384301569079	-0.000375198990542271	-0.00019185555352151	0.000798378324886543
-0.1	2.8e-05	2.33338511e-11	6.73315775e-12	0.0114777233854448	-0.000111749702530805	0.000229414184995902	0.000732872384355689
-0.1	2.4e-05	2.05778158e-11	8.42579637e-12	0.0107140836597316	-0.000691627593163325	-0.000451902338531238	0.000659841331090455
-0.1	2.00000000000001e-05	2.40322272e-11	1.0020044e-11	0.0110474314712895	0.000266063320324554	0.000307183625169258	0.000717537423164004
-0.1	1.6e-05	1.9538524e-11	1.2484972e-11	0.012845315719851	4.86201817550365e-05	-0.000669953718146664	0.000535283428867289
-0.1	1.2e-05	2.46294372e-11	1.49671437e-11	0.0122683422373179	-0.00015951933597845	0.000318232853927994	0.000830652235152504
-0.1	8.00000000000003e-06	1.92715044e-11	1.74730496e-11	0.0123485576950827	0.000633964999357614	-0.000124734857877822	0.000707531555584948
-0.1	4.00000000000004e-06	1.993402e-11	1.98767895e-11	0.0138987540896881	0.000592938118075309	-0.000327121164118544	0.000730511010043956
-0.1	5.42101086242752e-20	2.4444928e-11	2.19040616e-11	0.013431921675122	0.000980939401225513	0.000273870840097348	0.000759067633628247
-0.1	-3.99999999999999e-06	2.02964468e-11	2.40897017e-11	0.01313387014139	0.000126290542353091	0.000391467076170425	0.000734469792175243
-0.1	-7.99999999999998e-06	2.34895369e-11	2.67418106e-11	0.011287758584941	0.000277747307830687	0.000671304759560845	0.000654265443795633
-0.1	-1.2e-05	2.09799839e-11	2.79177984e-11	0.00819413655483177	-6.85623138996072e-05	0.000607484159949429	0.000529859779434525
-0.1	-1.6e-05	2.23163768e-11	2.96900061e-11	0.00817705105046575	-0.000231802178507922	0.000231729456415872	0.000696227543133245
-0.1	-1.99999999999999e-05	2.18640025e-11	3.11312023e-11	0.0086858992301502	8.05245744951086e-05	0.000635549503511144	0.000643057311698718
-0.1	-2.4e-05	2.26307726e-11	3.24793665e-11	0.00824472651937829	-0.000277453941275717	-4.86531299468363e-05	0.000632674759082658
-0.1	-2.8e-05	2.08467923e-11	3.37999235e-11	0.00832935281519093	-0.000280562810673296	-0.000217807897326243	0.000548951379291649
-0.1	-3.2e-05	2.34749473e-11	3.53953804e-11	0.00813719626828662	-0.000606015447156568	0.000393536622119045	0.000693236152837427
-0.1	-3.6e-05	2.01121101e-11	3.69898737e-11	0.00802611177873729	0.000149136110402572	-0.000393493168320079	0.000629384063088762
-0.1	-3.99999999999999e-05	2.45181932e-11	3.95111571e-11	0.0111829745112697	-0.000110394463125386	0.00026186774275579	0.000611122059067626
-0.1	-4.4e-05	1.97310258e-11	4.15840389e-11	0.013325987721306	0.000287422379611998	-0.000477430057112177	0.000800017776463367
-0.1	-4.8e-05	2.43000464e-11	4.33762353e-11	0.0137752191679443	0.000321660555438113	-0.000135532849327108	0.000642335389010788
-0.1	-5.2e-05	2.45587011e-11	4.5598879e-11	0.013644933994977	0.00062587554264017	-0.000137051254118234	0.000720411953930591
-0.1	-5.6e-05	1.97533182e-11	4.88643869e-11	0.0125080028024179	0.000101797671530476	-0.000808982931974333	0.000621281489043395
-0.1	-5.99999999999999e-05	2.43419169e-11	5.11004217e-11	0.0117593005879105	0.000196358405428239	-3.0270482346974e-05	0.000812459748670754
-0.1	-6.4e-05	2.04238833e-11	5.31650942e-11	0.0128749774458618	0.000578166902585179	-0.000471018720312414	0.000818194368341349
-0.1	-6.8e-05	2.3421715e-11	5.5322352e-11	0.0109699868024657	-0.000127034779466099	-0.000546260020994036	0.00075226055533924
-0.1	-7.2e-05	2.13587481e-11	5.70395115e-11	0.0103412980858225	0.000207265992747785	-0.000129715722939364	0.000854933722679736
-0.1	-7.59999999999999e-05	2.24962697e-11	5.88715285e-11	0.0110611158718949	-0.000297268767036215	-0.000205304440383697	0.000845841410338631
-0.1	-7.99999999999999e-05	2.22014189e-11	6.10700689e-11	0.0110236681822245	6.85701917707693e-05	0.000284809404803168	0.000742424016601108
-0.1	-8.4e-05	2.29086533e-11	6.28905833e-11	0.0112875425548141	-0.000708044113899231	0.000418969058518651	0.00100957481418573
