# qdac_Pg_set	qdac_bias_right_set	dmm1_curr_7_4	dmm2_curr_7_5	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "Plunger"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 101	201
-1.6	-0.0003	3.73604614e-10	-8.05218741e-10	0.338408139758526	0.00325220848720736	0.00251136521472376	0.0313490425042222
-1.6	-0.000297	3.67603584e-10	-8.04255202e-10	0.340831503057838	0.00296368380380613	0.00197675957103676	0.0313906761133281
-1.6	-0.000294	3.6907296e-10	-8.02701675e-10	0.33992321490518	0.00247950490588325	0.00136081414021816	0.0310703311143377
-1.6	-0.000291	3.63449257e-10	-8.03887435e-10	0.342752429993501	0.00256307942327559	0.00185767599301889	0.0310805528842599
-1.6	-0.000288	3.59445402e-10	-8.02373153e-10	0.341691750520869	0.00281488227059412	0.00125362852870732	0.0307926479206694
-1.6	-0.000285	3.54467137e-10	-8.05090511e-10	0.345116267477415	0.00297900825398803	0.00109819031416881	0.0309943049979812
-1.6	-0.000282	3.51282919e-10	-8.01386992e-10	0.342106724822681	0.00314376967999305	0.000421598205658833	0.0305165863165277
-1.6	-0.000279	3.43981872e-10	-8.03033144e-10	0.338622703943095	0.00325504251241323	0.000775256203519279	0.0304740038146291
-1.6	-0.000276	3.47879388e-10	-8.01475451e-10	0.339534382944871	0.00287615614428956	0.000229112016587756	0.0303471942625938
-1.6	-0.000273	3.32243208e-10	-8.06118787e-10	0.342355591278992	0.00301033805907571	0.000303288015551805	0.0302968073369857
-1.6	-0.00027	3.41172549e-10	-8.04601948e-10	0.340939157038337	0.00319791730144669	0.000113525561471538	0.0300400325551751
-1.6	-0.000267	3.24363075e-10	-8.04072314e-10	0.342321551527632	0.00250603573644455	-0.000530673224277164	0.0300193483755621
-1.6	-0.000264	3.32090827e-10	-8.05456543e-10	0.342563417503065	0.00303647015721002	0.000380357131727828	0.0299578400145086
