# qdac_RB_set	qdac_bias_right_set	dmm1_curr	dmm2_curr	lockin1_conductance	lockin2_conductance	lockin3_conductance	lockin4_conductance
# "Right Barrier"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 201	121
-0.87	-0.0003	2.23983994e-10	-4.98541917e-10	0.23484605179111	0.000481837520025414	0.0016087893785437	0.012641053978544
-0.87	-0.000295	2.76527643e-10	-5.07245964e-10	0.233811952197082	-0.00020907146180071	0.00119909584756751	0.0129933905451565
-0.87	-0.00029	2.72066104e-10	-5.07602496e-10	0.236644776917166	-0.000726649988285467	0.0017392032463968	0.0205501424957603
-0.87	-0.000285	2.65205942e-10	-5.0584603e-10	0.233943845288597	0.000834870201899823	0.00278879067806751	0.0218433931987664
-0.87	-0.00028	2.60231043e-10	-5.05546071e-10	0.234663230332746	0.00164514974050327	0.00301185573741638	0.0213374894520075
-0.87	-0.000275	2.56440672e-10	-5.06645665e-10	0.232510697449173	-5.89738719933408e-05	0.00385358514504847	0.0208477523986134
-0.87	-0.00027	2.50730358e-10	-5.04568393e-10	0.231670926326941	0.000340609702034786	0.00390646017268937	0.0210175860834262
-0.87	-0.000265	2.4514917e-10	-5.03997141e-10	0.230249088610661	0.0009676554422483	0.00394088720376617	0.0206443301658238
-0.87	-0.00026	2.41730709e-10	-5.04416595e-10	0.234280830060721	0.0015328317951812	0.0033573128453753	0.0204764393827067
-0.87	-0.000255	2.37749781e-10	-5.03521159e-10	0.233819543325331	0.00055780411885836	0.00381558336599172	0.0212809976327703
-0.87	-0.00025	2.33529475e-10	-5.04082739e-10	0.23352333625097	0.00108696761202627	0.00490361625838581	0.0222653939394045
-0.87	-0.000245	2.28077264e-10	-5.00549702e-10	0.233118600126604	0.00171033009797601	0.00570722014820464	0.0225477381852723
-0.87	-0.00024	2.23071247e-10	-5.00966787e-10	0.232628327100831	0.00213793360164445	0.00618351002395656	0.0214496568259176
-0.87	-0.000235	2.1869274e-10	-5.00368347e-10	0.230770426188119	0.000494194165498033	0.00563763049088068	0.0200290441900334
-0.87	-0.00023	2.14853753e-10	-4.98621704e-10	0.230917698421718	0.00115595643653742	0.00614572940225465	0.0198010929923444
-0.87	-0.000225	2.0924151e-10	-4.98772461e-10	0.231994500836354	0.00052559716251784	0.00627873135580923	0.0202443521693539
